absolute,absolutely
ia,some kind of
ial,for some reason
iam,"at some time, ever, sometime"
ideo,idea
idioto,idiot
ido,"child, offspring"
ie,"anywhere, somewhere"
iel,"anyway, somehow"
ien,"somewhere, to some place"
ies,someone's
igi,"to cause, to get, to make"
i?i,"to become, to get, to grow"
ili,they
ilo,"tool, means"
imagi,to imagine
ina,"female, feminine"
infano,child
informi,to inform
informi?i,"to be advised, to be informed, to find out"
insekto,insect
instrui,to teach
insulo,island
insulta,"insulting, offensive"
inter,"between, among"
inter ... kaj ...,"... to ..., from ... to ..."
intereso,interest
interesi,"to interest, to be interesting to"
interesi?i,"to be interested, to take an interest"
interna,"internal, inside"
iom,"a little, rather, some, somewhat, to some extent"
iom post iom,"gradually, little by little"
iri,to go
iu,"a, any, anybody, some, somebody, one, someone, some one"
iu ajn,any
iuj,"a few, some"
ja,indeed
jam,already
januaro,January
Japanlando,"Japan, ??"
Japanio,"Japan, ??"
japana,Japanese
Japanujo,"Japan, ??"
jaro,year
je,"as regards, in relation to"
jen,"here is (are), look!"
jen ... jen ...,"sometimes ... sometimes ..., now ... now ..."
jes,yes
julio,July
juna,young
junio,June
justa,"just, fair"
?aluza,jealous
?a?do,Thursday
?eti,to throw
?urnalo,newspaper
?us,"just, just now"
kafo,coffee
kaj,and
kaj ... kaj ...,both ... and ...
kalkuli,"to calculate, to count"
kampo,"field, area"
kanti,to sing
kapo,head
kapti,to catch
kara,"dear, expensive, lovely, valuable"
ka?i,to hide (something)
kato,cat
ka?zo,cause
ke,that
kelka,some
kia,"what kind of, what sort of"
kial,"what for, why"
kiam,when
kie,where
kiel,"as, how, like"
kies,"of which, which one's, whose"
kio,"what, which"
kiom,"how many, how much"
kisi,kiss
kiu,"that, which, which one, who"
klara,clear
klubo,"club, group"
knabo,boy
kolekti,to collect
koleri,to be angry
koleri?i,to get angry
kolo,neck
koloro,color
komenci,to begin (something)
komerci,"to trade, to do business"
komforta,comfortable
kompreni,"to understand, to realise, to realize"
komuna,"common, general"
komuniki,to communicate
koni,to know
konduki,to lead
kongreso,"congress, convention"
konsenti,to agree
konsili,to advise
konstrui,to build
kontenta,"satisfied, content"
kontra?,"across from, against, in exchange for, opposed to, opposite, upon"
korespondi,"to correspond, to exchange letters"
koro,heart
korpo,body
korto,"yard, courtyard"
kosti,to cost
koverto,envelope
kovri,to cover
kredi,to believe
kreski,to grow
krii,"to yell, to cry out"
krom,"apart from, besides, except, except for"
ksilofono,xylophone
ktp,"and so on, et cetera"
kuiri,to cook
kuko,cake
kun,with
kunuzi,to share
kura?a,"brave, courageous"
kuri,to run
kurso,"course, series of lessons"
ku?i,to lie down
kutimo,"custom, habit"
kvankam,although
kvar,four
kvaza?,"as if, as though"
kvieta,quiet
kvin,five
la,the (definite article)
labori,to work
laca,tired
lakto,milk
lando,"country, land"
lar?a,wide
lasi,"to leave, to allow"
lasta,last
la?,"according to, along"
lavi,to wash
leciono,lesson
legi,to read
lerni,to learn
letero,letter (correspondence)
levi,to lift
li,he
libera,"free, independent"
libro,book
ligo,"league, alliance"
ligi,"to tie, to bind"
ligno,wood
lingvo,language
linio,line
lito,bed
lo?i,"to live, to inhabit"
loko,"place, position"
longa,long
ludi,to play
ludo,game
lumi,"to shine, to give light"
lundo,Monday
majo,May (month)
mano,hand
man?i,to eat
manki,"to be lacking, to be absent"
maro,"sea, ocean"
mardo,Tuesday
marko,"sign, mark"
marto,March (month)
mateno,morning
matenman?o,breakfast
mem,"-self, -selves"
membro,member
memori,to remember
merkredo,Wednesday
meti,"to put, to place"
mezo,middle
mezuri,to measure (something)
mi,"I, me"
mil,(one) thousand
militi,to wage war
minuto,minute
miri,"to marvel, to be amazed"
mirinda,wonderful
misuzi,to misuse
momento,moment
mono,money
monato,month
mondo,world
monto,mountain
montri,to show
morga?,tomorrow
morti,to die
movi,to move (something)
multa,"much, a lot of"
muro,wall
nacio,nation
na?i,to swim
naski,to give birth (to)
naturo,nature
na?,nine
nazo,nose
ne,"no, not"
necesa,necessary
ne?o,snow
nek,nor
nek ... nek ...,neither... nor...
nestabila,unstable
ni,"we, us"
nigra,black
nokto,night
nomo,name
nombro,"number, amount"
norda,north
nova,new
novembro,November
nu,"well!, now!"
nubo,cloud
nul,zero
nun,now
nur,only
ofta,"frequent, common"
ok,eight
okazi,"to happen, to occur"
oktobro,October
okulo,eye
okupi,to occupy
ol,than (in comparisions)
oni,"one, people, ""they"""
onklo,uncle
opinii,"to think, to have an opinion"
ordo,order
ordoni,"to order, to command"
orelo,ear
osto,bone
ovo,egg
,peace
pagi,to pay
pano,bread
papero,paper
pardoni,"to forgive, to excuse"
paroli,to speak
parto,part
pasi,to pass
pa?i,"to step, to pace"
patro,father
peco,"piece, bit"
peni,"to try, to endeavour"
pensi,to think
per,"by (means of), with"
perdi,to lose
permesi,"to allow, to permit"
persono,person
peti,"to ask (for), to request"
piedo,foot
pilko,ball (for playing)
pla?i,"to please, to be pleasing"
pla?o,beach
planko,floor
plej,most (superlative)
plena,full
plendi,to complain
plezuro,"pleasure, enjoyment"
pli,more (comparative)
plori,"to cry, to weep"
plu,"further, more (adverb)"
plumo,pen
pluvo,rain
popolo,"people, nation"
por,"for, in order to"
pordo,door
porti,to carry
post,"after, behind"
postuli,"to demand, to require"
povi,to be able (to)
prava,"right, correct"
precipa,"main, principal"
premi,"to press, to squeeze"
preni,to take
preska?,almost
preta,ready
preter,"beyond, past"
prezenti,to present
pri,"about, concerning"
printempo,spring
pro,"because of, by reason of"
problemo,problem
profunda,deep
proksima,"near, close"
propra,(one's) own
provi,"to try, to test"
punkto,"point, period"
pura,"clean, pure"
rajto,a right
rakonti,"to tell, to narrate"
rapida,"quick, fast"
regi,"to rule, to control"
renkonti,to meet
respondi,to answer
resti,"to remain, to continue to be"
resto,"rest, remainder"
ricevi,to receive
ri?a,rich
ridi,to laugh
rigardi,to look (at)
rimarki,to notice
rimedo,"means, resource"
ripozi,to rest
rivero,river
robo,a dress
rompi,to break
rondo,"round, circle"
rozo,rose
ru?a,red
s-ro,Mr.
sabato,Saturday
salti,to jump
saluti,to greet
sama,same
sana,healthy
sango,blood
sata,"full, not hungry"
scii,to know
se,if
sed,but
se?o,chair
seka,dry
sekvi,to follow
semajno,week
sen,without
sendi,to send
senti,to feel
sep,seven
septembro,September
ser?i,"to look for, to seek"
servi,to serve
ses,six
si,reflexive pronoun
sidi,to sit
silenti,to be silent
simpla,simple
sinjoro,"mister, gentleman"
skribi,to write
soifi,to be thirsty
sola,alone
solvi,to solve
somero,summer
soni,to sound
speco,"kind, sort"
stacio,"station (for bus, train, etc.)"
stari,to stand
stato,"state, condition"
strato,street
studi,to study
sub,"under, beneath"
suferi,to suffer
sufi?a,"sufficient, enough"
sukcesi,to succeed
sukero,sugar
suno,sun
super,"over, above"
supro,"top, summit"
sur,"on, upon"
?ajni,"to seem, to appear to be"
?an?i,to change
?ati,"to have a high opinion of, to value, to like"
?i,she
?ipo,ship
?tono,stone
tablo,table
tago,day
tagman?o,lunch
tajpi,to type
tamen,"however, nevertheless"
taso,cup
tasko,task
teo,tea
teatro,a theater
tempo,time
teni,"to hold, to have"
tero,"earth, ground"
timi,to fear
tipo,"type, sort"
tiri,to pull
tra,through
tran?i,to cut
trankvila,"calm, quiet"
trans,"across, on the other side of"
tre,very
tri,three
trinki,to drink
tro,"too, too much"
trovi,to find
tuj,immediately
turni,to turn
tu?i,to touch
tuta,"whole, entire"
unu,one
uono,wok
urbo,"city, town"
usono,"United States of America, USA"
utila,useful
uzi,to use
?ato,Watt
vagono,"train waggon, carriage"
valoro,value
varma,"warm, hot"
veki,to awake (someone)
veni,to come
vendi,to sell
vendredo,Friday
vento,wind
vera,"true, real"
verda,green
vespero,evening
vesto,"garment, article of clothing"
vetero,weather
veturi,"to travel (by vehicle: to drive, to fly, etc.)"
vi,you
vidi,to see
vila?o,village
vino,wine
vintro,winter
viro,man
virino,woman
vitro,glass (substance)
vivi,"to live, to be alive"
viza?o,face
viziti,to visit
vojo,"way, road"
voja?i,"to travel, to journey"
voki,to call
voli,to want to
vorto,word
vortaro,"dictionary, vocabulary"
